id-mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
545595,2016,MARZO,DOMINGO,2016-03-06,18,Robo,Robo total,NO,NO,NUÑEZ,13,-34.5359738719999,-58.4685309939999,1
545601,2016,MARZO,JUEVES,2016-03-10,23,Robo,Robo total,SI,NO,NUÑEZ,13,-34.545200284,-58.468394484,1
545673,2016,MARZO,VIERNES,2016-03-11,1,Robo,Robo total,SI,NO,NUÑEZ,13,-34.553438408,-58.467791351,1
545679,2016,MARZO,VIERNES,2016-03-04,4,Robo,Robo total,NO,NO,NUÑEZ,13,-34.557497616,-58.4677717229999,1
545697,2016,MARZO,JUEVES,2016-03-03,7,Robo,Robo total,SI,NO,NUÑEZ,13,-34.54295063,-58.467581931,1
545724,2016,MARZO,SABADO,2016-03-05,21,Robo,Robo total,NO,NO,NUÑEZ,13,-34.5374381519999,-58.4672548789999,1
545766,2016,MARZO,SABADO,2016-03-12,15,Robo,Robo total,SI,NO,NUÑEZ,13,-34.543595449,-58.4669947259999,1
545904,2016,MARZO,DOMINGO,2016-03-06,20,Robo,Robo total,NO,NO,NUÑEZ,13,-34.548242133,-58.46591818,1
545910,2016,MARZO,VIERNES,2016-03-11,17,Robo,Robo total,NO,SI,NUÑEZ,13,-34.554949818,-58.465825159,1
545988,2016,MARZO,JUEVES,2016-03-03,21,Robo,Robo total,SI,NO,NUÑEZ,13,-34.553087133,-58.465099988,1
546006,2016,MARZO,LUNES,2016-03-07,20,Robo,Robo total,NO,NO,NUÑEZ,13,-34.551851901,-58.4647843289999,1
546153,2016,ABRIL,VIERNES,2016-04-22,12,Robo,Robo total,NO,NO,NUÑEZ,13,-34.5426342169999,-58.4671695609999,1
546201,2016,ABRIL,MARTES,2016-04-19,8,Robo,Robo total,NO,NO,NUÑEZ,13,-34.5423323429999,-58.466662229,1
546246,2016,ABRIL,VIERNES,2016-04-22,19,Robo,Robo total,NO,NO,NUÑEZ,13,-34.5515993619999,-58.466348317,1
546261,2016,ABRIL,JUEVES,2016-04-21,22,Robo,Robo total,NO,NO,NUÑEZ,13,-34.5492554319999,-58.466066019,1
546324,2016,ABRIL,VIERNES,2016-04-29,22,Robo,Robo total,SI,NO,NUÑEZ,13,-34.5525368419999,-58.465500396,1
546339,2016,ABRIL,MIERCOLES,2016-04-20,12,Robo,Robo total,SI,NO,NUÑEZ,13,-34.55109039,-58.465347645,1
546369,2016,ABRIL,MARTES,2016-04-26,19,Robo,Robo total,NO,NO,NUÑEZ,13,-34.553087133,-58.465099988,1
546372,2016,ABRIL,MIERCOLES,2016-04-27,8,Robo,Robo total,NO,SI,NUÑEZ,13,-34.553087133,-58.465099988,1
546393,2016,ABRIL,SABADO,2016-04-30,23,Robo,Robo automotor,SI,NO,NUÑEZ,13,-34.547985131,-58.464982157,1
546402,2016,ABRIL,MARTES,2016-04-19,12,Robo,Robo total,NO,NO,NUÑEZ,13,-34.5428651619999,-58.4649500319999,1
546411,2016,ABRIL,SABADO,2016-04-30,1,Robo,Robo total,NO,SI,NUÑEZ,13,-34.551851901,-58.4647843289999,1
546420,2016,ABRIL,DOMINGO,2016-04-24,18,Robo,Robo total,NO,NO,NUÑEZ,13,-34.556106384,-58.4647301369999,1
546495,2016,ABRIL,LUNES,2016-04-18,15,Robo,Robo total,NO,NO,NUÑEZ,13,-34.545154898,-58.464429476,1
546612,2016,ABRIL,MARTES,2016-04-19,7,Robo,Robo total,NO,NO,NUÑEZ,13,-34.554968856,-58.4631366409999,1
546630,2016,ABRIL,VIERNES,2016-04-22,18,Robo,Robo total,NO,NO,NUÑEZ,13,-34.550913564,-58.46292235,1
546879,2016,MAYO,DOMINGO,2016-05-01,6,Robo,Robo total,SI,NO,NUÑEZ,13,-34.550718815,-58.469915671,1
547074,2016,MAYO,DOMINGO,2016-05-01,3,Robo,Robo total,SI,NO,NUÑEZ,13,-34.53500725835739,-58.467572306414596,1
550569,2016,DICIEMBRE,LUNES,2016-12-12,20,Robo,Robo total,SI,SI,NUÑEZ,13,-34.554073084,-58.4669697209999,1
550572,2016,DICIEMBRE,SABADO,2016-12-17,20,Robo,Robo total,NO,SI,NUÑEZ,13,-34.550816316,-58.46691401,1
